法源	來源	課程
中華民國憲法	A0000001	1142｜課_二34_所得稅法；1142｜課_四34_稅法專題；1142｜課_四89_所得稅法專題研究
財政收支劃分法	G0320015	1142｜課_二34_所得稅法；1142｜課_四34_稅法專題
所得稅法	G0340003	1142｜課_二34_所得稅法；1142｜課_四34_稅法專題；1142｜課_四89_所得稅法專題研究
所得稅法施行細則	G0340004	1142｜課_二34_所得稅法
所得基本稅額條例	G0340115	1142｜課_二34_所得稅法
稅捐稽徵法	G0340001	1142｜課_二34_所得稅法；1142｜課_四34_稅法專題；1142｜課_四89_所得稅法專題研究
納稅者權利保護法	G0340142	1142｜課_二34_所得稅法；1142｜課_四34_稅法專題；1142｜課_四89_所得稅法專題研究
行政程序法	A0030055	1142｜課_二34_所得稅法；1142｜課_四34_稅法專題；1142｜課_四89_所得稅法專題研究
行政罰法	A0030210	1142｜課_四34_稅法專題
行政訴訟法	A0030024	1142｜課_二34_所得稅法；1142｜課_四89_所得稅法專題研究
土地稅法	G0340096	1142｜課_二34_所得稅法；1142｜課_四34_稅法專題；1142｜課_四89_所得稅法專題研究
房屋稅條例	G0340102	1142｜課_二34_所得稅法；1142｜課_四34_稅法專題；1142｜課_四89_所得稅法專題研究
加值型及非加值型營業稅法	G0340080	1142｜課_二34_所得稅法；1142｜課_四34_稅法專題；1142｜課_四89_所得稅法專題研究
遺產及贈與稅法	G0340072	1142｜課_二34_所得稅法；1142｜課_四34_稅法專題；1142｜課_四89_所得稅法專題研究
關稅法	G0350001	1142｜課_二34_所得稅法；1142｜課_四34_稅法專題；1142｜課_四89_所得稅法專題研究
行政執行法	A0030023	1142｜課_四34_稅法專題
最高行政法院109年度大字第4號裁定	judgment	1142｜課_四34_稅法專題
